mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	5/8	Dynamic	6/8	1	1	0						pp										
1	0	0	0	0.0	0	5/8	StaffText	6/8	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/><b>Langsam und schmachtend</b>"								
1	0	0	0	0.0	0	5/8	Tempo	6/8	1	1	0									𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0			
1	0	0	0	0.0	0	5/8	Spanner	6/8	1	1	0															0	
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8			1/8	1	0									0	0	
2	1	1/2	1/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	1									0	0	
2	1	2	2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	2									0	0	
2	1	3	3	0.0	5/8	5/8	Spanner	6/8	1	1	0																
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	3											
3	2	7/2	7/2	0.0	0	0	Spanner	6/8	1	1	0																0
3	2	7/2	7/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	4		articAccentAbove							1		0
3	2	5	5	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	5									1		0
3	2	6	6	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	6									1		0
3	2	7/2	7/2	3.0	0	0	Chord	6/8	1	2	3/4			1/2	3/2	7									2		0
3	2	7/2	7/2	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	8											
4	3	13/2	13/2	0.0	0	0	Dynamic	6/8	1	1	0						p								1		
4	3	13/2	13/2	0.0	0	0	Spanner	6/8	1	1	0														1		
4	3	13/2	13/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	9									1		
4	3	7	7	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	10									1		
4	3	8	8	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	11									1		
4	3	13/2	13/2	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	12											
4	3	8	8	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	13											
4	3	13/2	13/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	14											
4	3	8	8	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	15											
5	4	12	12	0.0	5/8	5/8	Spanner	6/8	1	1	0														1	1	
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	16									1	1	
6	5	25/2	25/2	0.0	0	0	StaffText	6/8	1	1	0								"<font size=""9.3787""/><font face=""Plantin MT Std""/><i>cresc.</i>"						1	1	
6	5	25/2	25/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	17									1	1	
6	5	14	14	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	18									1	1	
6	5	15	15	0.0	5/8	5/8	Spanner	6/8	1	1	0																
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	19											
7	6	31/2	31/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	20		articAccentAbove							3		
7	6	17	17	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	21									3		
7	6	18	18	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	22									3		
